microresnet_ghost_loss,microresnet_loss,microresnet_loss_alpha_0.3_temperature_2,microresnet_loss_alpha_0.3_temperature_4
2.7286456149557363,2.854106692097071,1.2338582984626751,1.7324863428349995
2.708005534413525,2.8506363651636617,1.2416204747641484,1.7274029703091478
2.729104521939212,2.836346649452853,1.2364824549926212,1.73885886992335
2.71712529933666,2.822185008422188,1.2281017326333028,1.742701732898917
2.7021302567113694,2.8469656745491125,1.235499458697141,1.6984301890863482
2.723326671153993,2.853109301813423,1.2373939847092494,1.7224890789412477
2.706819140392801,2.830364896208429,1.2225645141833277,1.7117641206897434
2.7086091864749293,2.824570796068977,1.2336841108244094,1.7039898926644679
2.6772502297940464,2.816935625832404,1.224192338983726,1.7090488690549455
2.6923269423682368,2.830957628576957,1.230720108732238,1.7133280618111495
2.678481887978361,2.8330466448498504,1.2060449409972676,1.7125901871020226
2.68865542216679,2.833523940552226,1.2106158230310815,1.7058682463053243
2.652432687752082,2.81513346064731,1.213619682642505,1.7068252353107227
2.667766377749041,2.81502751316256,1.219411290362668,1.7115074115640976
2.6798644196956665,2.805577387895121,1.2282814369787036,1.6970931172675794
2.6575008408187903,2.820075245464549,1.2122643371982038,1.702455971247095
2.65621270913907,2.7944414676607723,1.206738863607197,1.6973759143248848
2.6730889560621414,2.8029184347528324,1.206861035140884,1.6984000041356782
2.6641361347549712,2.806830733633407,1.2129430002568629,1.7119899546093953
2.651642843890373,2.797177472077977,1.2058636236678608,1.6972850158696284
2.6472369307447274,2.807763310039745,1.2171257591003652,1.6938552963154396
2.6773295652531,2.810869052891841,1.2054231893985778,1.7027503788623664
2.6495971301632464,2.8037420959423875,1.2060839893567898,1.684061111696541
2.6629750673728223,2.796320416433427,1.199332953414039,1.6797059396343768
2.666939491506123,2.800163472095109,1.2123422194319915,1.6981223050285787
2.6773633176408462,2.8179471791552766,1.2052749666716436,1.680678954209818
2.6802237238115665,2.7712262304847504,1.2026517209799394,1.6775745680874876
2.65985672248294,2.7861675325866857,1.2046416629001002,1.6803633669758087
2.6629168877516256,2.7872588457658773,1.1982136705647344,1.6733990023508096
2.7039849270335243,2.8049051066493744,1.1961530878415805,1.6777421553116625
2.6509043536222805,2.7971335801931905,1.2039992051661168,1.6710125424367996
2.6987499477308425,2.787495869809709,1.2005878705197892,1.6743304677631543
2.698848451494866,2.7887627883335515,1.2108632777353077,1.6741652708224324
2.721883428066283,2.7709871728706847,1.1975726352628235,1.6605653634766484
2.6761907305558927,2.786779701862189,1.1930987069673855,1.6765624034740125
2.725445602251136,2.778776800541012,1.1865706869098536,1.6743690552918806
2.6693756446204224,2.790211446449885,1.19912556172027,1.6695093468327047
2.674562217634352,2.7699715859444853,1.2041160046596966,1.6690872432020925
2.662375501964404,2.793977005097567,1.1905663446392245,1.6710562934655973
2.684195713009066,2.773264769093155,1.2056834443146005,1.67336906679451
2.6877826278471884,2.782792329178442,1.1948881344417173,1.6697262982883112
2.681964515420177,2.765326254812958,1.198213985813853,1.6687468869606856
2.671311587628806,2.755808854042112,1.1878603321816914,1.6770019900158544
2.650134939062016,2.776474666107646,1.1944048781224224,1.664387528243882
2.657836396371007,2.768880309351265,1.1909215866452287,1.668296364872047
2.6706942569874133,2.774060002373308,1.1923737350632162,1.6576022211548007
2.6606953357491654,2.770899781790536,1.1935385607392586,1.672540362838589
2.2585212842887623,2.243679833534124,0.928422209246994,1.3525886227712607
2.156146661094997,2.1117681024019674,0.8690326175726283,1.2652450717623582
2.136587059101485,2.087622261718106,0.8471091410997883,1.2422300039045036
2.105834149948471,2.0693700276982145,0.8327363753867576,1.2267918443435903
2.0964350310128057,2.04565018308742,0.8228481533887136,1.2166940883907211
2.097154260291468,2.0373774705945378,0.8153691098208318,1.2004197159081773
2.078963221796333,2.029688184523521,0.8124775537444503,1.1968896422544708
2.072367396805902,2.0196995960781945,0.8036100887276633,1.1939576614238416
2.062586100510014,2.020497036711944,0.8028009493485131,1.1896726914378992
2.060001989459748,2.005659214066118,0.7987294027872403,1.1869476426897756
2.064642249470781,1.999117769243772,0.7975500838835831,1.178612716819929
2.064993874191323,2.001510500298132,0.7906965416715578,1.1789778426784994
2.061776044423623,1.9929101299446867,0.7969971582712725,1.1742886972549322
2.045779182477985,1.9991088806820647,0.7902317487675211,1.1756222171856618
2.04672266790629,1.995251847350079,0.7913517668424055,1.1740689736497982
2.0660307450062785,1.983656475001284,0.7828948339233008,1.172722760673679
